label-coarse,text
1,What was the name of the `` Little Rascals '' dog ?
5,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
1,What Broadway musical was inspired by Cervantes 's Don Quixote ?
OTHERS,"What is the origin of the word , JJ ."
4,How many hostages were killed in the Entebbe raid ?
OTHERS,How you can raise your IQ ?
2,What does INRI stand for when used on Jesus ' cross ?
OTHERS,Who produces Spumante ?
OTHERS,Who earns their money the hard way ?
OTHERS,Who founded the People 's Temple Commune ?
4,How many bends are there in a standard paper clip ?
OTHERS,Who discovered electricity ?
1,What part of your body contains the corpus callosum ?
OTHERS,Who was the first American in space ?
5,What two South American countries do n't border Brazil ?
1,"What poem contains the line , `` grow old with me the best is yet to be '' ."
OTHERS,What is a dental root canal ?
1,What war did the Wanna-Go-Home Riots occur after ?
4,What is the busiest air travel season ?
1,What 's the colored part of the eye called ?
OTHERS,What are hook worms ?
5,Where is the Rose Bowl played ?
OTHERS,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
OTHERS,Who is the mayor of Marbella ?
4,How many months does it take the moon to revolve around the Earth ?
5,Where are the 49 steps ?
4,In what year was De Gaulle elected president of France ?
OTHERS,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
OTHERS,Who directed `` Jaws '' ?
1,On what T.V. show could Tom Terrific be found ?
OTHERS,What Indian tribe is F Troop perpetually doing battle with ?
OTHERS,Where did Indian Pudding come from ?
OTHERS,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
4,How many colonies were involved in the American Revolution ?
5,Where can I find pictorial directions on how to build a very simple treehouse ?
1,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
OTHERS,What is the name of the managing director of Apricot Computer ?
OTHERS,What is the occupation of Nicholas Cage ?
OTHERS,Why do horseshoes bring luck ?
OTHERS,"What is the 401 , K , plan ?"
OTHERS,What causes pneumonia ?
4,What are the three winter months in the southern hemisphere ?
OTHERS,What does gringo mean ?
5,What country contains Africa 's northernmost point ?
1,What therapy attempts to elicit the `` primal scream '' ?
5,Where is the Kalahari desert ?
OTHERS,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
5,What city is sometimes called Gotham ?
1,What dangles over the tongue from the palate ?
OTHERS,Who created Dennis the Menace ?
OTHERS,What dummy received an honorary degree from Northwestern University ?
4,When was the first Wall Street Journal published ?
5,What countries have the largest areas of forest ?
OTHERS,Name Alvin 's brothers
OTHERS,What is Eagle 's syndrome styloid process ?
OTHERS,How did Jayne Mansfield die ?
4,When did the royal wedding of Prince Andrew and Fergie take place ?
OTHERS,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
OTHERS,What explorer was nicknamed Iberia 's Pilot ?
4,CNN began broadcasting in what year ?
1,What is a ball that hits the foul pole called ?
OTHERS,What makes hamburgers taste like steakburgers ?
OTHERS,Which company created the Internet browser Mosaic ?
1,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
1,What was the education system in the 1960 's ?
5,What South American city has the world 's highest commercial landing field ?
OTHERS,How can I find out which cities have cable-modem access ?
OTHERS,What is Betsy Ross famous for ?
4,How many species of sharks are there ?
OTHERS,What is `` snoogans '' ?
4,How many people are there in the world ?
1,What shrubs can be planted that will be safe from deer ?
OTHERS,What organization 's offices were broken into at Watergate in 1972 ?
OTHERS,What is the design of the ship Titanic ?
2,What does S.O.S. stand for ?
1,Name a technique widely used to detect birth defects ?
OTHERS,What is the daily requirement of folic acid for an expectant mother ?
OTHERS,What is the `` 7-minute cigarette '' ?
1,What four forms does gold occur in ?
4,What is the acreage of the Chappellet vineyard ?
4,When did beethoven die ?
4,How much does a new railroad coal car cost ?
OTHERS,What is the filmmakers collabrative ?
OTHERS,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
OTHERS,What caused Harry Houdini 's death ?
OTHERS,"Who was the mother of the man who would not be king , the duke of Windsor ?"
4,How many revolutions does a standard LP make in three minutes ?
5,What is the name of the tallest mountain in the world ?
5,Where can I find a review of Nightmare on Elm Street in a film journal ?
1,What 's the slowest Olympic swimming stroke ?
1,What rum is so `` mixable '' it is a one-brand bar ?
4,How many South American countries have the letter Z in their names ?
OTHERS,What is the contents of proposition 98 ?
5,Where was George Washington born ?
OTHERS,Who wrote NN DT NNP NNP '' ?
OTHERS,What is paracetamol ?
1,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
4,When was the first steel mill in the United States built ?
OTHERS,What is the origin of the name Katie ?
OTHERS,"What schools in the Washington , DC NN NN VBP NN NN NN NN ."
4,When did the Berlin Wall go up ?
OTHERS,Who is Terrence Malick ?
1,What instrument is Ray Charles best known for playing ?
OTHERS,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
1,What is the mascot for Notre Dame University ?
5,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
4,When did Mount St. Helen last have a significant eruption ?
2,CNN is the abbreviation for what ?
4,When did World War I start ?
4,How many feet are there in a fathom ?
OTHERS,What is a Canada two-penny black ?
5,What European city do Nicois live in ?
OTHERS,How can I find out what year a Beanie Baby was introduced ?
OTHERS,What is the classic definition of tragic hero ?
1,To what does Microsoft 's Windows 3 owe its success ?
OTHERS,Who was President of Afghanistan in 1994 ?
1,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
1,What did brontosauruses eat ?
1,What color bottles do good Rhine wines come in ?
OTHERS,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
OTHERS,Who was the 16th President of the United States ?
OTHERS,Who are the two sons of Ozzie and Harriet Nelson ?
OTHERS,What is molybdenum ?
4,When is Boxing Day ?
1,What is the lowest level of the American judiciary ?
4,How many people did Randy Craft kill ?
1,What 's the official animal of Canada ?
4,When did Spielberg direct `` Jaws '' ?
4,What is the size of the largest akita ?
1,What animal has the biggest eyes ?
5,What is California 's capital ?
OTHERS,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
OTHERS,Who was the founding member of the Pink Floyd band ?
5,What European country is home to the beer-producing city of Budweis ?
OTHERS,How do I find the balance of my social security account ?
5,Where was Christopher Columbus born ?
OTHERS,How do you get to the top of the Eiffel Tower ?
2,What does ` PSI ' stand for ?
5,What sea did the Romans call mare nostrum ?
5,What city did the Flintstones live in ?
1,What is Latin for incompetent ?
1,What chemicals are used in lethal injection ?
OTHERS,What toy company is the world 's No.1 maker of female apparel ?
1,What board game does a `` wood-pusher '' play poorly ?
OTHERS,Which Doonesbury character was likely to turn into a werewolf ?
2,What is the abbreviation for micro ?
1,What are the 7 articles of the constitution ?
OTHERS,Who has won the most Super Bowls ?
2,What does NASDAQ stand for ?
2,What is BPH ?
1,What is the fastest commercial automobile that can be bought in the US ?
5,What stadium do the Miami Dolphins play their home games in ?
OTHERS,Who has the only speaking role in `` Silent Movie '' ?
OTHERS,Why is poop sometimes different colors ?
4,What was Einstein 's IQ ?
4,What day was Pearl Harbor attacked in 1942 ?
5,What state is John F. Kennedy buried in ?
1,What is the best way to remove wallpaper ?
5,What U.S. state has an element named for it ?
OTHERS,How did the tradition of best man start ?
4,How many years ago did the ship Titanic sink ?
5,What is the deepest area of the Arctic Ocean ?
1,What are Halloween 's colors ?
OTHERS,How is silk screening done ?
4,"What is the latitude and longitude of El Paso , Texas ?"
OTHERS,Who made a boat out of gopher wood ?
5,Where can I find a `` Fifth Element '' screensaver ?
OTHERS,Which Bloom County resident wreaks havoc with a computer ?
OTHERS,How do you match a name to a social security number ?
OTHERS,How does a rainbow form ?
4,What is the normal resting heart rate of a healthy adult ?
4,What is the population of Ohio ?
OTHERS,Hazmat stands for what ?
1,What creature scares people in the film `` Jaws '' ?
OTHERS,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
OTHERS,Who followed Caesar ?
1,What are the four elements ?
OTHERS,Who was the first woman golfer to earn a million ?
1,What 's the tallest piece on a chessboard ?
5,What is Answers.com 's address ?
5,Where can I buy movies on videotape online ?
OTHERS,Who does the advertizing for Frito-Lay ?
OTHERS,Who is the leading competitor of Trans Union Company ?
1,What product did Robert Conrad dare people to knock off his shoulder ?
4,What 's the American dollar equivalent for 8 pounds in the U.K. ?
1,What are the different approaches of systems analysis ?
OTHERS,How do doctors diagnose bone cancer ?
OTHERS,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
1,What are the developmental stages of a swimmer ?
OTHERS,What actor first portrayed James Bond ?
5,What ocean is the largest in the world ?
OTHERS,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
4,What year did Jack Nicklaus join the Professional Golfers Association tour ?
4,How many sonnets did Shakespeare write ?
OTHERS,What causes the redness in your cheeks when you blush ?
OTHERS,Who won the Nobel Peace Prize in 1991 ?
OTHERS,Who are the Challengers of the Unknown ?
OTHERS,Define the Pheonix Club ?
5,Which city did Christian Crusaders fight to recapture from the Muslims ?
OTHERS,What does it mean `` Rupee Depreciates '' ?
1,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
OTHERS,Who was the first coach of the Cleveland Browns ?
OTHERS,How successful is arometherapy ?
1,What Jewish holiday saw the start of the 1973 Mideast War ?
OTHERS,How does a copier work ?
4,What is the speed of the Mississippi River ?
OTHERS,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
OTHERS,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
1,What TV game show once saw a contestant admit to picking his toes in the shower ?
OTHERS,What Soviet leader owned a Rolls-Royce ?
5,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
1,What war did Florence Nightingale tend the troops in ?
OTHERS,"Who wrote the song , `` Stardust '' ?"
4,How many Beatles ' records went #1 ?
OTHERS,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
5,What mountains lie between the Arkansas and Missouri rivers ?
OTHERS,Who received the Will Rogers Award in 1989 ?
OTHERS,What is the function of RAM ?
5,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
4,How many equal angles are there in an isosceles triangle ?
1,What is the fear of cockroaches called ?
1,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
OTHERS,What is the use of a 24-hour clock instead of a 12-hour clock ?
OTHERS,What was the name of the lawyer who represented Randy Craft ?
OTHERS,What United States President had dreamed that he was assassinated ?
1,What film did Lee Marvin win the 1965 best actor Oscar for ?
1,What product does `` Mrs. Olsen '' promote ?
4,What time of day did Emperor Hirohito die ?
OTHERS,What is dry ice ?
1,What 's the most powerful card in Euchre ?
OTHERS,What does `` intractable plantar keratoma '' mean ?
4,How many years did it take James Joyce to write Ulysses ?
1,What crop failure caused the Irish Famine ?
4,How many types of dogs ' tails are there - three
1,What is the longest-running television series ?
1,What predators exist on Antarctica ?
OTHERS,What is the difference between a generator and an alternator ?
OTHERS,How is energy created ?
1,What beer advertised that it had `` three rings '' ?
4,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
1,What golfing accessory was patented by George Grant on December 12
OTHERS,How is it correct to say ` qigong ' ?
5,What was the highest mountain on earth before Mount Everest was discovered ?
5,"Where was the Ligurian Republic , 1797-185 , ?"
5,What country 's people are the top television watchers ?
4,When was the women 's suffrage amendment ratified ?
1,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
OTHERS,"What President lived at 219 North Delaware Street , Independence , Missouri ?"
OTHERS,Give a reason for American Indians oftentimes dropping out of school .
5,Where must a soccer goalie stand to be permitted to handle the ball ?
5,In what U.S. state was the first woman governor elected ?
OTHERS,What are some interesting facts and information about dogsledding ?
1,What kind of animal is Babar ?
OTHERS,What is Jane Goodall known for ?
1,What killed Bob Marley ?
4,How much money are Dumbo 's ears insured for ?
OTHERS,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
OTHERS,Who is Stein Eriksen ?
OTHERS,What does the name Billie mean ?
OTHERS,Who is the fastest swimmer in the world ?
5,What is the highest peak in Africa ?
5,Where is Procter & Gamble headquartered in the U.S. ?
5,What desert has been called The Garden of Allah ?
1,What do bicornate animals have two of ?
1,What is a fear of weakness ?
4,How many miles is it to Ohio from North Carolina ?
4,How much snow equals an inch of rain ?
2,What does G.M.T. stand for ?
OTHERS,What does Inuit and Eskimo mean ?
1,What song served as the closing theme of The Johnny Cash Show ?
1,What field sport did dentist William Beers promote and write a standard book of rules for ?
OTHERS,How do I tie dye clothes ?
4,When does the average teenager first have intercourse ?
OTHERS,Why doesn 't www.answers.com have any answers to my questions ?
OTHERS,What actor 's autobiography is titled All My Yesterdays ?
OTHERS,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
5,Where 's the 19th hole on a golf course ?
OTHERS,Who played the original Charlie 's Angels ?
5,Where can I find a person 's address from a telephone number ?
1,"What English word comes from the Old French covrefeu , meaning cover fire ?"
1,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
5,Where did Sarge Steel get his metal hand ?
OTHERS,What makes popcorn pop ?
OTHERS,Who wrote The Night of the Iguana ?
1,Where does your hair grow the fastest ?
5,What country did King Gustav V reign over from 197 to 195 ?
OTHERS,Who painted Mother and Child ?
4,What is the speed of the Mississippi River ?
5,What is the brightest star visible from Earth ?
1,What film marked Robert Redford 's directorial debut ?
1,What film or films has Jude Law appeared in ?
5,Where do hyenas live ?
OTHERS,Who has more DNA - a man or a woman ?
OTHERS,What are Maid-Rites ?
1,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?"
OTHERS,What level of government or governmental agency is responsible for dealing with racism ?
4,How many referees work a soccer game ?
1,What cocktail do you concoct with whisky and sweet vermouth ?
1,How do you say `` fresh '' in Spanish ?
OTHERS,What do bee hives do in cranberry bogs ?
OTHERS,What caused the Lynmouth floods ?
4,When is the Tulip Festival in Michigan ?
OTHERS,"Who came up with the name , El Nino ?"
1,What movie did Madilyn Kahn star in with Gene Wilder ?
1,What type of bridge is the Golden Gate Bridge ?
OTHERS,What dictator has the nickname `` El Maximo '' ?
OTHERS,What stereo manufacturer is `` Slightly ahead of its time '' ?
5,What U.S. city is The Queen of the Pacific ?
OTHERS,What TV sitcom character had the maiden name Ethel Potter ?
1,What was the first Lifesaver flavor ?
5,Where can I find out the top 1 singles ?
4,How many degrees cooler is the inside of a cucumber than the air outside ?
OTHERS,What Spanish artist painted Crucifixion ?
1,What is the Jewish bible called ?
OTHERS,Why is the grass green ?
OTHERS,What is a firewall ?
OTHERS,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
OTHERS,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
4,How long does it take for Spider-Man 's web to evaporate ?
5,What was known as the Spice Island ?
OTHERS,Who was the first host of Person to Person ?
OTHERS,Name the Ranger who was always after Yogi Bear .
1,What does the Statue of Liberty wear on her feet ?
OTHERS,Who is the superstar in rent-a-cars ?
5,McCarren Airport is located in what city ?
1,"What household facility contains a float ball , ballcock , and overflow tube ?"
1,What was the name of Betty Boop 's dog ?
4,What fraction of a beaver 's life is spent swimming ?
1,What was the Bridge of San Luis Rey made of ?
OTHERS,What do economists do ?
5,What country has the largest sheep population ?
OTHERS,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
5,What country is the world 's largest importer of cognac ?
4,How many years is Johnnie Walker Black Label aged ?
2,What does SIDS stand for ?
1,What is Grenada 's main commodity export ?
4,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?"
OTHERS,What makes a clitoris sensitive ?
5,"What country has the most time zones , with 11 ?"
1,What `` magic '' does Mandrake employ ?
OTHERS,Who is the president of Stanford University ?
OTHERS,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
1,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
5,What city is Logan Airport in ?
OTHERS,What is a nanometer ?
4,How many innings are there in a regulation softball game ?
5,What is the largest city on the Great Lakes ?
4,What is the telephone number for the University of Kentucky ?
OTHERS,Who invented baseball ?
1,What product on the market is good for hiding facial scars ?
4,How long is the Coney Island boardwalk ?
5,What city gained renown for its pea-soup fogs ?
OTHERS,What does `` Janelle '' mean ?
OTHERS,How do I get another city 's newspaper ?
1,Name a movie about the Sioux Indians starring Kevin Costner .
OTHERS,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?"
OTHERS,What are the distinct physical characterstics of the Arabian horse ?
1,What is a fear of thunder ?
4,How many colleges are in Wyoming ?
5,What Russian seaport has a name meaning `` Lord of the East '' ?
5,Where can stocks be traded on-line ?
4,When was the Battle of Hastings ?
1,What kind of file has the extension .dbf ?
4,When did Muhammad live ?
1,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
OTHERS,What is a wop ?
OTHERS,How do I stop background noise in a car stereo ?
OTHERS,What is the best college in the country ?
OTHERS,What is viscosity ?
1,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
5,What are the Nordic nations ?
5,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
5,What U.S. state borders Illinois to the north ?
1,Name a film in which Jude Law acted .
4,What is the temperature for baking Peachy Oat Muffins ?
1,What is a fear of bees ?
1,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
OTHERS,What is a green bog ?
5,Where did the myth of Santa Claus originate ?
1,What does a chairbound basophobic fear ?
5,What city is served by Logan International Airport ?
OTHERS,What wrestling star became `` The Incredible Hulk '' ?
5,What attracts tourists to Reims ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What fastener did Whitcomb Judson patent in 1893 ?
OTHERS,What 's an auberge in France ?
OTHERS,Who was the star of the 1965 Broadway hit Golden Boy ?
5,Where is Procter & Gamble based in the U.S. ?
1,What does ribavirin consist of ?
1,Name the soft drink that is `` number one in the sun . ''
5,What is the web address of the list of e-mail addresses of members of the House of Representatives ?
OTHERS,What was her real name ?
OTHERS,Why are the ears your center of balance ?
OTHERS,Who invented the toothbrush ?
5,Where is the Abominable Snowman said to wander ?
1,What is a fear of being alone ?
4,How many dots make up the symbol for `` because '' ?
1,What do you get by adding Lactobacillus bulgaricus to milk ?
4,How many hearts does an octopus have ?
1,What plant has the largest seed ?
5,What was the only country you were allowed to drive into Israel from in 1979 ?
1,What 's approaching when a cyclist shouts : `` Oil '' ?
OTHERS,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
1,What kind of sport is often associated with hooligans ?
OTHERS,What video game hero do some of his fans call Chomper ?
4,How many holes are there in a tenpin bowling ball ?
OTHERS,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?"
1,What is `` the bear of beers '' ?
1,Name the operating system that runs on IBM-compatible machines .
OTHERS,What does the name `` Justin '' mean ?
4,What percentage of the body is muscle ?
1,What color of dry wine should be served with veal roasts and chops ?
1,What is a golf ball made of ?
OTHERS,What is the Amish religion ?
4,What does an average daycare provider get paid in New England ?
OTHERS,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?
OTHERS,Who played the Ringo Kid in the 1939 film Stagecoach ?
OTHERS,Who died 1 feet from where John F. Kennedy did ?
OTHERS,What is the `` coppertop '' battery ?
1,What sign is The Water Carrier the zodiacal symbol for ?
1,What animals do you find in the stock market ?
OTHERS,What is color ?
4,When is the site www.questions.com going to open ?
1,What did Shostakovich write for Rostropovich ?
OTHERS,What first name was Nipsy Russell given at birth ?
OTHERS,How can I get some free technical information on Electric Vehicle ?
OTHERS,Who is the youngest of the Beatles ?
OTHERS,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
OTHERS,What is a Jellicle Cat ?
5,Where can I find the best free evidence for debate about Russia ?
5,What Russian city boasts the Hermitage Museum ?
4,When is Bastille Day ?
OTHERS,What makes a tornado turn ?
4,How many shots can a stock M16 hold ?
1,What two colors are you blind to if you suffer from protanopia ?
OTHERS,Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
OTHERS,Who is Coronado ?
1,What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
OTHERS,What is artificial intelligence ?
1,What do flatfish eat ?
OTHERS,Who was the first Holy Roman Emperor ?
1,What can I use to remove the stubborn gummed labels from some diskettes ?
4,What day of the week sees the most fatal car accidents ?
OTHERS,"What is the origin of the word , magic ?"
1,What sport do you shag flies in ?
OTHERS,What is white chocolate ?
5,Where is Trinidad ?
OTHERS,Name the organization that is presided by a Security Council .
OTHERS,"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?"
1,What kind of wine is Spumante ?
OTHERS,Who portrayed portly criminologist Carl Hyatt on Checkmate ?
1,How do you say I love you in Spanish ?
OTHERS,What does the name Gina mean ?
1,What is the most advanced handheld calculator in the world ?
4,How fast is light ?
1,What is the belt of low pressure around the equator called ?
OTHERS,What are shooting stars ?
OTHERS,Whom did the Chicago Bulls beat in the 1993 championship ?
5,What 's the tallest building in New York City ?
OTHERS,How is Easter Sunday 's date determined ?
OTHERS,What is the Motto for the State of Maryland ?
OTHERS,Who is Desmond Tutu ?
5,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
1,Name a tiger that is extinct .
4,How many quarters equal a pound ?
1,What kind of books does Fodor 's publish ?
OTHERS,"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?"
4,What chapter of the Bible has the most verses ?
OTHERS,Who is the worst US President ever ?
OTHERS,What Asian leader was known as The Little Brown Saint ?
2,What is the abbreviated expression for the National Bureau of Investigation ?
4,How fast does the fastest car go ?
5,What is the highest mountain in the world ?
5,What arch can you see from the Place de la Concorde ?
OTHERS,Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
4,How long should a person wash their hands before they are clean ?
5,Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?
5,Which is the wealthiest country in the world ?
OTHERS,How can I find a phone number of someone if I only know their email address ?
OTHERS,How can you contact play producers and promoters on-line ?
OTHERS,Who is the monarch of the United Kingdom ?
1,What is a fear of passing high objects ?
OTHERS,What do players try to do when the music stops in a game of musical chairs ?
OTHERS,What are the top ten most common girl names in the US ?
OTHERS,Why is black the color of mourning in the West ?
1,What Judith Rossner novel was made into a film starring Diane Keaton ?
5,Which country is Australia 's largest export market ?
5,Where is the Kentucky Horse Park located ?
1,What is a fear of parasites ?
